module_address,module,did,response_length,name,name_en,name_zh,offset,size_bytes,bit_mask,bit_length,endian,signed,scale,add,unit,value_min,value_max,observed_samples,observed_min,observed_max,observed_range_withheld,confidence,evidence,source_report
0x10,ECM/PCM engine control,0x2610,54,OIL_PRESSURE,Engine oil pressure,机油压力,44,2,,16,big,False,1,0,kPa,0,65535,53908,0,626,False,high,"2,021 samples at zero engine speed read exactly 0 while the same responses carry BARO = 101 and MAP = 100.3, which rules out a dead sensor; idle readings of 241 / 251 against an in-car 252 support a gauge-pressure reading",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,BATTERY_V_HIRES_CANDIDATE,Battery voltage (high resolution candidate),高分辨率电压 (候选),46,2,,16,big,False,0.0025,0,V,0,163.8375,53908,6.08,14.64,False,low,"≈ raw/400 resembles battery voltage, but r is only 0.87 and it moves over a span of just 1.1 V",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2610,54,MAP_MMHG,Manifold pressure (mmHg scale),MAP (mmHg),48,2,,16,big,False,0.1,0,mmHg,0,6553.5,53908,173.3,1920.1,False,medium,r = 0.994 against MAP; the 0.1 mmHg/LSB unit is an **assumption**,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,LAMBDA_ALT,Lambda (alternate),空燃比 λ (备选),6,2,,16,big,False,3.0517578e-05,0,lambda,0,1.999969474,42797,0.991058346,1.021087642,False,medium,only ever moves within 0.997–1.016; possibly a second sensor or a filtered value,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,LAMBDA,Lambda,空燃比 λ,8,2,,16,big,False,3.0517578e-05,0,lambda,0,1.999969474,42797,0.764526364,1.999969474,False,high,"AFR = λ × 14.7; the public signal set decodes the same bytes as ×29.4/65535 = AFR, which agrees",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,SHORT_TRIM,Short term fuel trim,短期燃油修正,10,1,,8,big,False,0.78125,-100,%,-100,99.21875,42797,-10.15625,17.96875,False,high,exact coefficient 0.78125·raw − 100 recovered from unrounded values,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,LONG_TRIM,Long term fuel trim,长期燃油修正,11,1,,8,big,False,0.78125,-100,%,-100,99.21875,42797,-3.125,4.6875,False,high,same encoding as short-term trim,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,LAMBDA_CMD,Lambda target,目标空燃比 λ,12,2,,16,big,False,3.0517578e-05,0,lambda,0,1.999969474,42797,0.897705074,1.999969474,False,high,its difference from measured lambda is the error the closed loop is chasing,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,FUEL_STATUS,Fuel system status,燃油控制状态,14,1,,8,big,False,1,0,enum,0,255,42797,2,4,False,high,only the values 2 and 4 have been observed,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,PERCENT_UNKNOWN_B15,Unknown percentage byte 15,未知百分比 (候选),15,1,,8,big,False,0.39215686274509803,0,%,0,100,42797,0,18.823529412,False,low,equals an internal channel of the tuning tool that its CSV export does not expose; identity unknown. **It is definitely not purge**,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,CAM_CMD,Intake cam phase target,进气凸轮目标相位,16,1,,8,big,False,-0.5,53,deg,53,-74.5,42797,-22,33,False,high,corrected to 53 − 0.5·raw from unrounded values,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,CAM,Intake cam phase,进气凸轮实际相位,17,1,,8,big,False,-0.5,53,deg,53,-74.5,42797,-22.5,34.5,False,high,same encoding; its difference from the command shows the VTC response,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,VTS,VTEC engaged,VTEC 开关,18,1,0x1,1,big,False,1,0,bool,0,1,42797,0,1,False,high,"0/2 = off, 1/3 = on (bit0)",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,GEAR,Gear,档位,19,1,,8,big,False,1,0,gear,0,255,42797,0,6,False,high,96% agreement with the speed/rpm ratio while driving; 0 means neutral or clutch depressed. **The reverse value has never been seen** — selecting reverse still reads 0,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,PEDAL,Accelerator pedal,油门踏板,20,2,,16,big,False,0.005,0,%,0,327.675,42797,0,60.825,False,high,"accelerator **pedal** position, distinct from throttle",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,THROTTLE,Throttle position,节气门开度,22,2,,16,big,False,0.005,0,%,0,327.675,42797,0.02,99.975,False,high,actual electronic throttle position; it does not track the pedal one to one,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,BOOST_PRESSURE,Boost pressure (absolute),增压压力 (绝压),24,2,,16,big,False,0.013157894736842105,0,kPa_abs,0,862.302631579,42797,94.513157895,215.078947368,False,high,"pressure ahead of the throttle, different from MAP at idle; up to 202–215 kPa absolute while driving",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,BOOST_CMD,Boost pressure target,目标增压压力,26,2,,16,big,False,0.013157894736842105,0,kPa_abs,0,862.302631579,42797,24.618421053,233.684210526,False,high,"the target, same encoding",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,WASTEGATE,Wastegate position,废气阀位置,28,2,,16,big,True,0.001,0,mm?,-32.768,32.767,42797,-0.176,8.412,False,high,"**signed**: of 42,797 samples, 41,971 are ≤9000 and 826 are ≥65000, with nothing in between; 34 adjacent-sample transitions cross the sign boundary and read as >30000 jumps unsigned but as zero jumps signed",independent re-derivation from the tuning tool's export; re-classified as signed by the bit-level coverage map and confidence review (2026-09-19)
0x10,ECM/PCM engine control,0x2611,63,WASTEGATE_CMD,Wastegate position target,废气阀目标位置,30,2,,16,big,False,0.001,0,mm?,0,65.535,42797,0,8,False,high,"never negative, so it is still read unsigned; the millimetre unit is unproven",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,AIRC,Air charge,气缸充气量,32,2,,16,big,False,0.0234375,0,%,0,1535.9765625,42797,12.6796875,192.1171875,False,high,"the ECU's primary load quantity, reaching 218% under boost. **It must not be mapped onto OBD calculated load**",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,EXCAM,Exhaust cam phase,排气凸轮实际相位,34,1,,8,big,False,0.2,-23,deg,-23,28,42797,-23,22.4,False,high,coefficient 0.2·raw − 23 recovered from unrounded values,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,EXCAM_CMD,Exhaust cam phase target,排气凸轮目标相位,35,1,,8,big,False,0.2,-23,deg,-23,28,42797,-23,21.8,False,high,same encoding,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,CAT_TEMP,Catalyst temperature,催化器温度,36,2,,16,big,False,0.083333,0,degC,0,5461.228155,42797,278.998884,766.163602,False,high,an ECU model value; observed 303–766 °C,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,DI_FUEL_PRESSURE,Direct injection fuel pressure,直喷油轨压力,38,2,,16,big,False,10,0,kPa,0,655350,42797,4290,20980,False,high,"actual direct-injection rail pressure, 43.5–200 bar; an earlier swap with the commanded value was corrected",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,OIL_PRESSURE_MIRROR,Engine oil pressure (mirror),机油压力（另次采样）,40,2,,16,big,False,1,0,kPa,0,65535,42797,58,621,False,high,the same quantity as in `2610` sampled at a different instant (pairs agree exactly only 79.9% of the time),independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,PTANK,Unresolved pressure quantity (PTANK),未定压力量 (PTANK),42,2,,16,big,False,0.0077089115016959605,0,unresolved,0,505.203515264,42797,221.160962072,296.014492754,False,medium,"the numbers look like kPa (221–296) but are implausible for tank pressure, and they correlate strongly with the air-charge limits — a limit or model quantity. **Do not read it as fuel tank pressure**",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,DI_FUEL_PRESSURE_CMD,Direct injection fuel pressure target,直喷油轨目标压力,44,2,,16,big,False,0.5,0,kPa,0,32767.5,42797,4355.5,20000,False,high,r = 0.99997 against the actual value,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,TORQUE_REQ,Requested torque,请求扭矩 %,46,1,,8,big,False,0.39215686274509803,0,%,0,100,42797,0,70.980392157,False,high,"a normalised percentage; the reference torque is unknown, so it cannot be converted to N·m",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,TORQUE_ACT,Actual torque,实际扭矩 %,47,1,,8,big,False,0.39215686274509803,0,%,0,100,42797,0,64.705882353,False,high,same as above,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,TORQUE_MAX,Maximum torque (unit undetermined),扭矩上限 (未定单位),48,1,,8,big,False,6.0024,0,unresolved,0,1530.612,42797,198.0792,276.1104,False,medium,probably the torque ceiling for the current conditions; unit undetermined,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,AIRC_MAX,Air charge limit,充气量上限,49,1,,8,big,False,6.0024,0,%,0,1530.612,42797,150.06,270.108,False,medium,"`[49]` / `[57]` / `[58]` are equal at all times, so the three names are **indistinguishable** in this data",independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,AIRC_PROT,Air charge protection limit,充气量保护限,57,1,,8,big,False,6.0024,0,%,0,1530.612,42797,150.06,276.1104,False,medium,same as above,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2611,63,AIRC_COMP,Air charge compensation limit,充气量补偿限,58,1,,8,big,False,6.0024,0,%,0,1530.612,42797,150.06,276.1104,False,medium,same as above,independent re-derivation from the tuning tool's unrounded datalog export; session 5 (2026-09-12)
0x10,ECM/PCM engine control,0x2660,54,ODOMETER,Odometer,总里程,43,3,,24,big,False,1,0,km,0,16777215,365,,,True,high,checked against the cluster reading,"session 2 (2026-09-10), checked against the cluster odometer"
0x10,ECM/PCM engine control,0x2660,54,ENGINE_RUNTIME,Engine run time,发动机运行时间,46,2,,16,big,False,1,0,s,0,65535,365,87,2232,False,medium,taken from the public signal set; not independently verified here,"session 2 (2026-09-10), checked against the cluster odometer"
0x10,ECM/PCM engine control,0x2662,54,KNOCK_CONTROL,Knock control,爆震控制系数,10,1,,8,big,False,0.00784313725490196,0,scalar,0,2,365,0,0,False,medium,taken from the public signal set; not independently verified here,cross-check against public signal sets (2026-09-14); session 2 (2026-09-10)
0x10,ECM/PCM engine control,0x2662,54,CAT_TEMP_MIRROR,Catalyst temperature (mirror),催化器温度 (镜像),12,2,,16,big,False,0.083333,0,degC,0,5461.228155,365,303.582119,651.997392,False,high,r = 1.000 against the catalyst temperature in `2611`,cross-check against public signal sets (2026-09-14); session 2 (2026-09-10)
0x10,ECM/PCM engine control,0x2662,54,VTC_DUTY,VTC actuator duty,VTC 占空比,28,1,,8,big,False,0.39215686274509803,0,%,0,100,365,5.882352941,55.294117647,False,medium,adopted from the public signal set; on this car the raw value moves over 15..123 with engine speed. It was once mis-read as a coolant temperature duplicate,adopted from public signal sets (2026-09-14); raw value tracks engine speed on this car
0x10,ECM/PCM engine control,0x2662,54,UNKNOWN_B39,Unknown byte 39,未知量 B39 (候选),39,1,,8,big,False,1,0,?,0,255,365,71,73,False,low,"once mis-read as coolant temperature: it stayed at 73 while coolant went 73→80 °C, which rules that out. Nature unknown",cross-check against public signal sets (2026-09-14); session 2 (2026-09-10)
0x10,ECM/PCM engine control,0x2665,54,ENGINE_RUNTIME_COPY,Engine run time (copy),发动机运行时间 (副本),8,2,,16,big,False,1,0,s,0,65535,1017,95,2232,False,medium,equal sample by sample to the run time in `2660` (250/278; the rest differ by 1 s across a second boundary),offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x267E,68,PTANK_HI8,Unresolved pressure quantity (high byte),未定压力量 PTANK (8 位高字节),11,1,,8,big,False,1.973481344434166,0,unresolved,0,503.237742831,1017,228.923835954,294.048720321,False,low,equals the high byte of the 16-bit PTANK raw value (273/278),offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x267F,10,AIRC_MAX_COPY,Air charge limit (copy),充气量上限 (副本),5,1,,8,big,False,6.0024,0,%,0,1530.612,364,156.0624,264.1056,False,low,raw byte equal to `2611[49]` sample by sample (264/278),offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x2683,54,TIMER_A,Timer A,计时器 A (0.1 s),28,2,,16,big,False,0.1,0,s,0,6553.5,1017,237.5,6202.8,False,low,"monotonic, starting about 81 s later than engine run time; the start event is unknown",offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x2689,54,TIMER_B,Timer B,计时器 B (0.1 s),12,2,,16,big,False,0.1,0,s,0,6553.5,363,121.6,3550.4,False,low,"monotonic, starting about 197 s later than run time — a different event from timer A",offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x2689,54,TIMER_B_DUP,Timer B (duplicate position),计时器 B (重复位置),16,2,,16,big,False,0.1,0,s,0,6553.5,363,121.6,3550.4,False,low,byte-for-byte identical to `[12:14]` throughout; listed only to mark the position,offline review of the remaining ECM DIDs (2026-09-13)
0x10,ECM/PCM engine control,0x268F,54,OIL_TEMP_MODEL,Engine oil temperature (ECU model),机油温度（模型候选）,15,1,,8,big,False,1,-40,degC,-40,215,20684,32,82,False,high,"an ECU model value. Matches the cluster point for point over 54→67 °C; the in-car display showed 54 °C where the bus read 55 °C; warm-up is continuous over 32→81 °C. **No precedent in any public source**; the model algorithm, the sensor arrangement and the start-up display threshold are all unverified","session 2 (2026-09-10), cluster 54→67 °C point by point; session 5 (2026-09-12), in-car display 54 °C vs 55 °C on the bus"
0x28,VSA stability control (ABS/ESC),0x4001,56,STEER_ANGLE_COPY,Steering wheel angle (copy),转向角 (副本),20,2,,16,big,False,1.04,-1170,deg,-1170,66986.4,3965,-396.24,399.36,False,low,r = 0.96 against the steering angle in `48BD`,"session 7 (2026-09-15), event-outlier analysis re-run over session 4 data as well"
0x28,VSA stability control (ABS/ESC),0x4001,56,YAW_RATE_U8,Yaw rate (8-bit copy),偏航角速度 (8 位副本),50,1,,8,big,False,1.17,-146.25,deg/s,-146.25,152.1,3965,-54.99,40.95,False,low,"an 8-bit copy of `48C0` (same source, so it cannot cross-validate it)","session 7 (2026-09-15), event-outlier analysis re-run over session 4 data as well"
0x28,VSA stability control (ABS/ESC),0x4001,56,LATERAL_G_VSA_CANDIDATE,Lateral acceleration (VSA candidate),横向加速度 (VSA 候选),51,1,,8,big,False,0.02,-2.5,g?,-2.5,2.6,3965,-0.66,0.36,False,low,"best r = 0.873 against a speed × yaw-rate model. It is **an independent lateral channel**, not a sample-by-sample mirror of the EPS one; back-solving the yaw scale from each of the two gives results 35% apart, so at least one of the two scales is wrong",candidate review (2026-09-18); full-archive re-check of the G / yaw scales (2026-09-20)
0x28,VSA stability control (ABS/ESC),0x4001,56,LONGITUDINAL_G,Longitudinal acceleration,纵向加速度,52,1,,8,big,False,0.02,-2.5,g,-2.5,2.6,3965,-0.44,0.46,False,medium,"zero at raw = 125; r = 0.67–0.83 against acceleration differentiated from wheel speed, free slope 1.039, residual 0.030 g. **Only one trip sampled wheel speed fast enough to compute dv/dt**","session 7 (2026-09-15), event-outlier analysis; full-archive re-check of the G / yaw scales (2026-09-20)"
0x28,VSA stability control (ABS/ESC),0x4004,56,WHEEL_SPEED_FL_VSA,"Wheel speed front left (VSA, coarse)",左前轮速 (VSA 粗),8,1,,8,big,False,1.5,0,km/h,0,382.5,3339,0,114,False,medium,"1.5 km/h per LSB; **the wheel order is inferred from the EPS packet**, not independently confirmed",session 3 (2026-09-10); cross-check against public signal sets (2026-09-14)
0x28,VSA stability control (ABS/ESC),0x4004,56,WHEEL_SPEED_FR_VSA,"Wheel speed front right (VSA, coarse)",右前轮速 (VSA 粗),9,1,,8,big,False,1.5,0,km/h,0,382.5,3339,0,114,False,medium,same as above,session 3 (2026-09-10); cross-check against public signal sets (2026-09-14)
0x28,VSA stability control (ABS/ESC),0x4004,56,WHEEL_SPEED_RL_VSA,"Wheel speed rear left (VSA, coarse)",左后轮速 (VSA 粗),10,1,,8,big,False,1.5,0,km/h,0,382.5,3339,0,114,False,medium,same as above,session 3 (2026-09-10); cross-check against public signal sets (2026-09-14)
0x28,VSA stability control (ABS/ESC),0x4004,56,WHEEL_SPEED_RR_VSA,"Wheel speed rear right (VSA, coarse)",右后轮速 (VSA 粗),11,1,,8,big,False,1.5,0,km/h,0,382.5,3339,0,114,False,medium,same as above,session 3 (2026-09-10); cross-check against public signal sets (2026-09-14)
0x28,VSA stability control (ABS/ESC),0x4004,56,BRAKE_SWITCH,Brake switch,刹车开关,15,1,0x1,1,big,False,1,0,bool,0,1,3339,0,1,False,medium,agrees with the public signal set once the MSB0 bit numbering is applied: bix 127 is byte 15 bit0,session 3 (2026-09-10); cross-check against public signal sets (2026-09-14)
0x28,VSA stability control (ABS/ESC),0x4005,56,BRAKE_PRESSURE,Brake master cylinder pressure,制动压力,7,2,,16,big,False,1,-25,bar,-25,65510,4840,0,106,False,high,"0 at rest; the in-car display's 5 MPa and 10 MPa correspond to 50 bar and 106 bar here (about 6% apart, kept as-is)","session 2 (2026-09-10), two measured points against the in-car display"
0x28,VSA stability control (ABS/ESC),0x4005,56,BARO_MIRROR,Barometric pressure (VSA mirror),大气压 (VSA 镜像),21,1,,8,big,False,1,0,kPa,0,255,4840,101,101,False,medium,same value as `2610[17]`,"session 2 (2026-09-10), two measured points against the in-car display"
0x28,VSA stability control (ABS/ESC),0x4007,56,BRAKE_HOLD_HOLDING_CANDIDATE,Brake Hold actively holding (candidate),Brake Hold 正在保持 (候选),9,1,0x8,1,big,False,1,0,bool,0,1,3515,0,8,False,low,"all 26 set segments occur with Brake Hold enabled; two negative controls (Hold disabled, 559 samples; seatbelt unfastened, 317 samples) produce zero counter-examples. «Clears as soon as the pedal is released» is refuted by counter-example. **There is no independent «currently holding» reference, so it is not promoted**",candidate review (2026-09-18); full-archive re-check (2026-09-20)
0x28,VSA stability control (ABS/ESC),0x4007,56,BRAKE_SWITCH_MIRROR,Brake switch (VSA mirror),刹车开关 (VSA 镜像),9,1,0x4,1,big,False,1,0,bool,0,1,3515,0,4,False,medium,"**not a clean mirror of the brake switch**: `[9]` only ever takes 0 / 4 / 12 and never 8, and what holds is «bit2 = pedal OR bit3». While bit3 is set, bit2 does not fall back when the pedal is released — using it as a brake indicator will keep the indicator lit throughout a Brake Hold",candidate review (2026-09-18); full-archive re-check (2026-09-20)
0x28,VSA stability control (ABS/ESC),0x4007,56,REVERSE_GEAR,Reverse gear engaged,倒档,11,1,0x2,1,big,False,1,0,bool,0,1,3515,0,2,False,high,"four transitions across two reversing manoeuvres while driving, plus a 30 s stationary segment held in reverse","session 4, two reversing manoeuvres while driving; session 7, a 30 s stationary segment in reverse"
0x28,VSA stability control (ABS/ESC),0x4007,56,SEATBELT_DRIVER,Driver seatbelt fastened,驾驶员安全带已系,17,1,0x20,1,big,False,1,0,bool,0,1,3515,0,32,False,high,"two independent unfasten / fasten actions: cleared on unfasten, set on fasten","session 8 (2026-09-16), stationary segment 5; startup-sequence review (2026-09-18)"
